,TSS200,TSS,promoter,Body,3UTR,CGI_TSS200,CGI_promoter,CGI_Body,CGI_3UTR,CGI,shore,shelf,450k_Enhancer,Phantom4_Enhancers,Phantom5_Enhancers,DMR,RDMR,CDMR,HMM_Island,Regulatory_Feature,DNase_Hypersensitivity,OpenChromatin,TFBS_Evidence
1000,0.098,0.231,0.344,0.353,0.048,0.009,0.02,0.063,0.004,0.124,0.312,0.474,0.281,0.009,0.015,0.019,0.03,0.017,0.277,0.176,0.571,0.141,0.116
2000,0.0955,0.2375,0.3425,0.359,0.0465,0.014,0.028,0.063,0.0045,0.13,0.3315,0.488,0.2805,0.012,0.016,0.017,0.034,0.014,0.3,0.1785,0.5975,0.141,0.1225
3000,0.084,0.22166666666666668,0.32466666666666666,0.37,0.04733333333333333,0.012333333333333333,0.028,0.07233333333333333,0.005,0.14033333333333334,0.3426666666666667,0.49433333333333335,0.28833333333333333,0.013666666666666667,0.01633333333333333,0.013333333333333334,0.033,0.015,0.30733333333333335,0.17366666666666666,0.5866666666666667,0.14666666666666667,0.12766666666666668
4000,0.08525,0.21875,0.322,0.37075,0.04625,0.01375,0.03025,0.074,0.00475,0.143,0.356,0.505,0.29475,0.01225,0.017,0.01375,0.03325,0.0165,0.3185,0.181,0.5905,0.14725,0.12475
5000,0.0818,0.2138,0.3156,0.3774,0.0448,0.0132,0.031,0.0766,0.0044,0.1482,0.369,0.5148,0.2902,0.011,0.0168,0.0136,0.0372,0.015,0.3262,0.186,0.591,0.151,0.121
6000,0.08183333333333333,0.21266666666666667,0.31466666666666665,0.38133333333333336,0.04666666666666667,0.013166666666666667,0.031,0.0795,0.005166666666666667,0.15133333333333332,0.3775,0.517,0.291,0.011833333333333333,0.01633333333333333,0.012833333333333334,0.03716666666666667,0.0145,0.3338333333333333,0.18783333333333332,0.5886666666666667,0.15516666666666667,0.12016666666666667
7000,0.07928571428571428,0.2092857142857143,0.31285714285714283,0.38,0.04842857142857143,0.013285714285714286,0.032285714285714286,0.07985714285714286,0.0054285714285714284,0.15585714285714286,0.38642857142857145,0.526,0.2877142857142857,0.013285714285714286,0.016,0.013285714285714286,0.03842857142857143,0.015,0.33614285714285713,0.19242857142857142,0.5881428571428572,0.15728571428571428,0.12157142857142857
8000,0.077625,0.208,0.310875,0.381,0.047625,0.013125,0.034125,0.0815,0.0055,0.160625,0.3935,0.53225,0.285375,0.013625,0.016375,0.01325,0.037875,0.016625,0.34075,0.1935,0.5885,0.160625,0.1205
9000,0.07611111111111112,0.2061111111111111,0.30977777777777776,0.3791111111111111,0.04744444444444444,0.013888888888888888,0.035555555555555556,0.08144444444444444,0.005888888888888889,0.16422222222222221,0.4012222222222222,0.538,0.2816666666666667,0.015,0.017555555555555557,0.013666666666666667,0.03844444444444445,0.016555555555555556,0.3477777777777778,0.198,0.5874444444444444,0.16333333333333333,0.12166666666666667
10000,0.0759,0.2043,0.3088,0.379,0.0478,0.0143,0.0372,0.0813,0.0063,0.1674,0.4045,0.5408,0.2811,0.0152,0.0185,0.015,0.0386,0.0172,0.3511,0.2004,0.5878,0.1643,0.1234
11000,0.07536363636363637,0.2061818181818182,0.30936363636363634,0.38072727272727275,0.04672727272727273,0.014545454545454545,0.03854545454545454,0.08218181818181818,0.006363636363636364,0.16936363636363636,0.4082727272727273,0.5442727272727272,0.28036363636363637,0.015636363636363636,0.018545454545454546,0.015272727272727273,0.038636363636363635,0.017,0.355,0.20318181818181819,0.5878181818181818,0.16536363636363635,0.12390909090909091
12000,0.07466666666666667,0.20716666666666667,0.31025,0.3804166666666667,0.04658333333333333,0.015083333333333334,0.03908333333333333,0.082,0.006166666666666667,0.17075,0.41241666666666665,0.5473333333333333,0.2793333333333333,0.016166666666666666,0.019,0.016,0.03858333333333333,0.017333333333333333,0.358,0.20558333333333334,0.5864166666666667,0.16525,0.12375
13000,0.07353846153846154,0.20653846153846153,0.31123076923076926,0.37953846153846155,0.047,0.014769230769230769,0.04007692307692308,0.08246153846153846,0.0063076923076923076,0.17307692307692307,0.4163846153846154,0.5495384615384615,0.27792307692307694,0.017076923076923076,0.019153846153846153,0.01723076923076923,0.03823076923076923,0.01723076923076923,0.36223076923076925,0.20692307692307693,0.586076923076923,0.16576923076923078,0.12484615384615384
14000,0.07328571428571429,0.2072142857142857,0.31157142857142855,0.37914285714285717,0.047714285714285716,0.014928571428571428,0.040928571428571425,0.08371428571428571,0.0065,0.17592857142857143,0.4213571428571429,0.5532142857142858,0.2775714285714286,0.017285714285714286,0.019142857142857142,0.017857142857142856,0.038214285714285715,0.017214285714285713,0.36642857142857144,0.20992857142857144,0.5880714285714286,0.1662142857142857,0.12478571428571429
15000,0.0736,0.20773333333333333,0.3111333333333333,0.38106666666666666,0.04766666666666667,0.015666666666666666,0.04206666666666667,0.08346666666666666,0.0064,0.1778,0.424,0.5553333333333333,0.2758,0.017666666666666667,0.019333333333333334,0.0186,0.0374,0.0172,0.36966666666666664,0.21153333333333332,0.5873333333333334,0.16613333333333333,0.12533333333333332
16000,0.072875,0.2073125,0.3099375,0.381875,0.047,0.0159375,0.04325,0.083875,0.0063125,0.179125,0.42525,0.5561875,0.276625,0.0178125,0.0191875,0.01925,0.0374375,0.017,0.3710625,0.2135,0.5875,0.165625,0.1251875
17000,0.07294117647058823,0.20705882352941177,0.3091764705882353,0.3835882352941177,0.04688235294117647,0.016117647058823528,0.04341176470588235,0.08447058823529412,0.006411764705882353,0.18005882352941177,0.4268235294117647,0.5571176470588235,0.27705882352941175,0.017529411764705884,0.019705882352941177,0.019823529411764705,0.036941176470588234,0.017058823529411765,0.3730588235294118,0.21382352941176472,0.5871764705882353,0.16494117647058823,0.126
18000,0.07316666666666667,0.2078888888888889,0.30972222222222223,0.3832777777777778,0.04627777777777778,0.016277777777777776,0.044055555555555556,0.08427777777777777,0.006388888888888889,0.18005555555555555,0.4283888888888889,0.5577222222222222,0.278,0.017666666666666667,0.01988888888888889,0.019555555555555555,0.03666666666666667,0.017222222222222222,0.37494444444444447,0.21472222222222223,0.5886666666666667,0.16366666666666665,0.12511111111111112
19000,0.07221052631578948,0.20763157894736842,0.3098421052631579,0.3841052631578947,0.04610526315789474,0.01594736842105263,0.04405263157894737,0.08436842105263158,0.006368421052631579,0.17978947368421053,0.42894736842105263,0.5577894736842105,0.2775263157894737,0.017789473684210525,0.01968421052631579,0.019473684210526317,0.03663157894736842,0.017105263157894738,0.3757894736842105,0.21421052631578946,0.5871052631578947,0.16326315789473683,0.1256842105263158
20000,0.0726,0.20805,0.3098,0.3843,0.0468,0.01625,0.045,0.0849,0.00645,0.1813,0.4319,0.55975,0.27635,0.0181,0.01995,0.0198,0.0363,0.01735,0.3777,0.21625,0.5872,0.16265,0.12615
