,symbol,probes,importance,enhancer,['MYCNA'],['MYCNA']_ratio,['MYCNA']_imp,['MYCNA']_imp_ratio,['MYCNA']_enha,['MYCNA']_enha_ratio,['4'],['4']_ratio,['4']_imp,['4']_imp_ratio,['4']_enha,['4']_enha_ratio,['4s'],['4s']_ratio,['4s']_imp,['4s']_imp_ratio,['4s']_enha,['4s']_enha_ratio,['other'],['other']_ratio,['other']_imp,['other']_imp_ratio,['other']_enha,['other']_enha_ratio,"['4', 'MYCNA']","['4', 'MYCNA']_ratio","['4', 'MYCNA']_imp","['4', 'MYCNA']_imp_ratio","['4', 'MYCNA']_enha","['4', 'MYCNA']_enha_ratio"
NR_026766,MYCNOS,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NM_001293233,MYCN,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NM_001293231,MYCN,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NM_001293228,MYCN,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NM_005378,MYCN,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NR_110230,MYCNOS,41.0,27.0,8.0,22.0,0.5365853658536586,20.0,0.7407407407407407,7.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.037037037037037035,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0
NR_125783,MYCNUT,39.0,25.0,6.0,20.0,0.5128205128205128,18.0,0.72,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.04,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
NR_126559,GACAT3,22.0,14.0,7.0,12.0,0.5454545454545454,10.0,0.7142857142857143,5.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0
NR_110541,HORMAD2-AS1,18.0,10.0,1.0,4.0,0.2222222222222222,1.0,0.1,0.0,0.0,4.0,0.2222222222222222,1.0,0.1,0.0,0.0,11.0,0.6111111111111112,8.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3888888888888889,7.0,0.7,0.0,0.0
NM_152510,HORMAD2,18.0,10.0,1.0,4.0,0.2222222222222222,1.0,0.1,0.0,0.0,4.0,0.2222222222222222,1.0,0.1,0.0,0.0,11.0,0.6111111111111112,8.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3888888888888889,7.0,0.7,0.0,0.0
NR_106876,MIR6818,17.0,9.0,0.0,4.0,0.23529411764705882,1.0,0.1111111111111111,0.0,0.0,4.0,0.23529411764705882,1.0,0.1111111111111111,0.0,0.0,11.0,0.6470588235294118,8.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.4117647058823529,7.0,0.7777777777777778,0.0,0.0
NM_001164257,PRR29,92.0,47.0,9.0,7.0,0.07608695652173914,2.0,0.0425531914893617,0.0,0.0,25.0,0.2717391304347826,18.0,0.3829787234042553,3.0,0.3333333333333333,23.0,0.25,17.0,0.3617021276595745,4.0,0.4444444444444444,2.0,0.021739130434782608,0.0,0.0,0.0,0.0,19.0,0.20652173913043478,14.0,0.2978723404255319,2.0,0.2222222222222222
