symbol,probes,importance,enhancer,A_ratio,B_ratio,C_ratio,D_ratio,A_imp_ratio,B_imp_ratio,C_imp_ratio,D_imp_ratio,transcript,class
ACAN,62.0,24.0,9.0,0.08064516129032258,0.20967741935483872,0.3225806451612903,0.016129032258064516,0.08333333333333333,0.2916666666666667,0.6666666666666666,0.041666666666666664,"NM_001135, NM_013227",C
ATOH8,57.0,18.0,9.0,0.07017543859649122,0.08771929824561403,0.017543859649122806,0.017543859649122806,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0,NM_032827,B
BMS1P20,19.0,7.0,0.0,0.0,0.3684210526315789,0.47368421052631576,0.05263157894736842,0.0,0.8571428571428571,0.7142857142857143,0.0,NR_027293,C
C1orf210,96.0,29.0,14.0,0.041666666666666664,0.2604166666666667,0.3229166666666667,0.041666666666666664,0.034482758620689655,0.5172413793103449,0.8620689655172413,0.0,"NM_001164829, NM_182517",C
CCL1,36.0,15.0,2.0,0.05555555555555555,0.4166666666666667,0.4166666666666667,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,NM_002981,"B, C"
CCL11,47.0,18.0,5.0,0.0425531914893617,0.3404255319148936,0.3617021276595745,0.0,0.0,0.6111111111111112,0.6111111111111112,0.0,NM_002986,C
CCL13,36.0,15.0,2.0,0.05555555555555555,0.4166666666666667,0.4166666666666667,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,NM_005408,"B, C"
CCL7,50.0,18.0,5.0,0.04,0.32,0.34,0.0,0.0,0.6111111111111112,0.6111111111111112,0.0,NM_006273,C
CCL8,48.0,18.0,5.0,0.0625,0.3333333333333333,0.3541666666666667,0.0,0.0,0.6111111111111112,0.6111111111111112,0.0,NM_005623,C
CD79B,131.0,50.0,10.0,0.061068702290076333,0.21374045801526717,0.20610687022900764,0.03816793893129771,0.04,0.36,0.38,0.0,"NM_001039933, NM_021602, NM_000626",B
CSF2RB,44.0,15.0,2.0,0.09090909090909091,0.22727272727272727,0.2727272727272727,0.022727272727272728,0.06666666666666667,0.4,0.4,0.0,NM_000395,C
CSH1,127.0,41.0,8.0,0.03937007874015748,0.1968503937007874,0.1889763779527559,0.047244094488188976,0.04878048780487805,0.36585365853658536,0.36585365853658536,0.0,NM_001317,B
CSHL1,146.0,50.0,10.0,0.04794520547945205,0.19863013698630136,0.2054794520547945,0.04794520547945205,0.04,0.36,0.38,0.0,"NM_001318, NM_022581, NM_022580, NM_022579",C
CX3CR1,42.0,17.0,2.0,0.07142857142857142,0.23809523809523808,0.35714285714285715,0.047619047619047616,0.11764705882352941,0.4117647058823529,0.5294117647058824,0.0,"NM_001171174, NM_001171171, NM_001337, NM_001171172",C
