rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.7651006711409396	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.24	0.875	0.7319587628865979	0.9	0.6	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.24	0.8615384615384615	0.8304093567251462	0.6666666666666667	0.34285714285714286	33	74	17	25
1	0.7785234899328859	0.8787878787878788	0.972972972972973	0.47058823529411764	0.28	0.9666666666666667	0.7741935483870968	0.5714285714285714	0.5833333333333334	0.8787878787878788	0.972972972972973	0.47058823529411764	0.28	0.9206349206349207	0.8622754491017964	0.5161290322580646	0.3783783783783784	33	74	17	25
2	0.7583892617449665	0.8787878787878788	0.9864864864864865	0.5882352941176471	0.04	0.9354838709677419	0.73	0.7142857142857143	0.25	0.8787878787878788	0.9864864864864865	0.5882352941176471	0.04	0.90625	0.839080459770115	0.6451612903225806	0.06896551724137932	33	74	17	25
3	0.7651006711409396	0.8181818181818182	0.9864864864864865	0.5294117647058824	0.2	1.0	0.7227722772277227	0.6428571428571429	0.7142857142857143	0.8181818181818182	0.9864864864864865	0.5294117647058824	0.2	0.9	0.8342857142857142	0.5806451612903226	0.3125	33	74	17	25
4	0.7651006711409396	0.7575757575757576	0.9459459459459459	0.6470588235294118	0.32	0.9615384615384616	0.7368421052631579	0.6875	0.6666666666666666	0.7575757575757576	0.9459459459459459	0.6470588235294118	0.32	0.8474576271186441	0.8284023668639052	0.6666666666666667	0.43243243243243246	33	74	17	25
5	0.8120805369127517	0.9393939393939394	0.9864864864864865	0.5882352941176471	0.28	0.9393939393939394	0.7849462365591398	0.6666666666666666	0.875	0.9393939393939394	0.9864864864864865	0.5882352941176471	0.28	0.9393939393939394	0.8742514970059879	0.625	0.42424242424242425	33	74	17	25
6	0.8053691275167785	0.9393939393939394	0.972972972972973	0.5294117647058824	0.32	0.96875	0.782608695652174	0.6923076923076923	0.6666666666666666	0.9393939393939394	0.972972972972973	0.5294117647058824	0.32	0.9538461538461539	0.8674698795180723	0.5999999999999999	0.43243243243243246	33	74	17	25
7	0.7449664429530202	0.7575757575757576	0.9864864864864865	0.5294117647058824	0.16	1.0	0.7227722772277227	0.5294117647058824	0.6666666666666666	0.7575757575757576	0.9864864864864865	0.5294117647058824	0.16	0.8620689655172413	0.8342857142857142	0.5294117647058824	0.25806451612903225	33	74	17	25
8	0.7718120805369127	0.8787878787878788	0.972972972972973	0.47058823529411764	0.24	0.9666666666666667	0.75	0.7272727272727273	0.5	0.8787878787878788	0.972972972972973	0.47058823529411764	0.24	0.9206349206349207	0.8470588235294119	0.5714285714285714	0.32432432432432434	33	74	17	25
9	0.7651006711409396	0.8181818181818182	0.9594594594594594	0.5882352941176471	0.24	0.9642857142857143	0.7634408602150538	0.5555555555555556	0.6	0.8181818181818182	0.9594594594594594	0.5882352941176471	0.24	0.8852459016393442	0.8502994011976047	0.5714285714285715	0.34285714285714286	33	74	17	25
10	0.8120805369127517	0.8484848484848485	0.972972972972973	0.7647058823529411	0.32	0.9655172413793104	0.7912087912087912	0.7222222222222222	0.7272727272727273	0.8484848484848485	0.972972972972973	0.7647058823529411	0.32	0.9032258064516129	0.8727272727272727	0.7428571428571428	0.4444444444444444	33	74	17	25
11	0.7718120805369127	0.9090909090909091	0.9459459459459459	0.47058823529411764	0.28	0.9090909090909091	0.7608695652173914	0.7272727272727273	0.5384615384615384	0.9090909090909091	0.9459459459459459	0.47058823529411764	0.28	0.9090909090909091	0.8433734939759038	0.5714285714285714	0.3684210526315789	33	74	17	25
12	0.7449664429530202	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.24	0.9259259259259259	0.7395833333333334	0.5625	0.6	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.24	0.8333333333333334	0.835294117647059	0.5454545454545455	0.34285714285714286	33	74	17	25
13	0.7651006711409396	0.8484848484848485	0.972972972972973	0.5294117647058824	0.2	0.9655172413793104	0.7272727272727273	0.6	0.8333333333333334	0.8484848484848485	0.972972972972973	0.5294117647058824	0.2	0.9032258064516129	0.8323699421965318	0.5625	0.3225806451612903	33	74	17	25
