rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.7651006711409396	0.7878787878787878	1.0	0.47058823529411764	0.24	1.0	0.74	0.5333333333333333	0.75	0.7878787878787878	1.0	0.47058823529411764	0.24	0.8813559322033898	0.8505747126436781	0.5	0.36363636363636365	33	74	17	25
1	0.7449664429530202	0.9696969696969697	0.9594594594594594	0.35294117647058826	0.08	0.8648648648648649	0.7473684210526316	0.6	0.2857142857142857	0.9696969696969697	0.9594594594594594	0.35294117647058826	0.08	0.9142857142857143	0.8402366863905325	0.4444444444444445	0.125	33	74	17	25
2	0.6778523489932886	0.696969696969697	0.918918918918919	0.35294117647058826	0.16	0.92	0.6666666666666666	0.5	0.4	0.696969696969697	0.918918918918919	0.35294117647058826	0.16	0.793103448275862	0.7727272727272727	0.41379310344827586	0.22857142857142856	33	74	17	25
3	0.7248322147651006	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.16	0.896551724137931	0.6761904761904762	1.0	0.5	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.16	0.8387096774193549	0.7932960893854749	0.5833333333333334	0.24242424242424243	33	74	17	25
4	0.7718120805369127	0.8787878787878788	0.972972972972973	0.47058823529411764	0.24	0.9354838709677419	0.72	1.0	0.6	0.8787878787878788	0.972972972972973	0.47058823529411764	0.24	0.90625	0.8275862068965518	0.6399999999999999	0.34285714285714286	33	74	17	25
5	0.7315436241610739	0.8484848484848485	0.9594594594594594	0.29411764705882354	0.2	0.9032258064516129	0.7029702970297029	0.5555555555555556	0.625	0.8484848484848485	0.9594594594594594	0.29411764705882354	0.2	0.875	0.8114285714285714	0.3846153846153846	0.30303030303030304	33	74	17	25
6	0.697986577181208	0.7272727272727273	0.972972972972973	0.4117647058823529	0.04	0.8888888888888888	0.6545454545454545	0.875	0.25	0.7272727272727273	0.972972972972973	0.4117647058823529	0.04	0.7999999999999999	0.782608695652174	0.56	0.06896551724137932	33	74	17	25
7	0.7516778523489933	0.7575757575757576	0.9864864864864865	0.5294117647058824	0.2	0.9615384615384616	0.6952380952380952	0.6923076923076923	1.0	0.7575757575757576	0.9864864864864865	0.5294117647058824	0.2	0.8474576271186441	0.8156424581005586	0.5999999999999999	0.33333333333333337	33	74	17	25
8	0.738255033557047	0.7878787878787878	0.9459459459459459	0.47058823529411764	0.24	0.8666666666666667	0.7	0.7272727272727273	0.75	0.7878787878787878	0.9459459459459459	0.47058823529411764	0.24	0.8253968253968254	0.8045977011494254	0.5714285714285714	0.36363636363636365	33	74	17	25
9	0.7315436241610739	0.7878787878787878	0.9864864864864865	0.29411764705882354	0.2	0.9285714285714286	0.6759259259259259	0.7142857142857143	0.8333333333333334	0.7878787878787878	0.9864864864864865	0.29411764705882354	0.2	0.8524590163934426	0.8021978021978022	0.4166666666666667	0.3225806451612903	33	74	17	25
10	0.7248322147651006	0.7575757575757576	0.972972972972973	0.4117647058823529	0.16	0.8928571428571429	0.6857142857142857	0.7777777777777778	0.5714285714285714	0.7575757575757576	0.972972972972973	0.4117647058823529	0.16	0.819672131147541	0.8044692737430168	0.5384615384615384	0.25	33	74	17	25
11	0.7516778523489933	0.8787878787878788	1.0	0.4117647058823529	0.08	1.0	0.6851851851851852	0.7777777777777778	0.6666666666666666	0.8787878787878788	1.0	0.4117647058823529	0.08	0.9354838709677419	0.8131868131868133	0.5384615384615384	0.14285714285714285	33	74	17	25
12	0.7248322147651006	0.7272727272727273	0.9864864864864865	0.4117647058823529	0.16	0.9230769230769231	0.6952380952380952	0.7	0.5	0.7272727272727273	0.9864864864864865	0.4117647058823529	0.16	0.8135593220338984	0.8156424581005586	0.5185185185185185	0.24242424242424243	33	74	17	25
13	0.7248322147651006	0.7878787878787878	0.9459459459459459	0.4117647058823529	0.2	0.8666666666666667	0.693069306930693	0.5833333333333334	0.8333333333333334	0.7878787878787878	0.9459459459459459	0.4117647058823529	0.2	0.8253968253968254	0.8	0.4827586206896552	0.3225806451612903	33	74	17	25
14	0.7181208053691275	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.16	0.896551724137931	0.71	0.5	0.5	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.16	0.8387096774193549	0.8160919540229885	0.41379310344827586	0.24242424242424243	33	74	17	25
15	0.7181208053691275	0.7575757575757576	0.9594594594594594	0.29411764705882354	0.24	0.8620689655172413	0.6761904761904762	0.7142857142857143	0.75	0.7575757575757576	0.9594594594594594	0.29411764705882354	0.24	0.8064516129032258	0.7932960893854749	0.4166666666666667	0.36363636363636365	33	74	17	25
16	0.738255033557047	0.7878787878787878	0.9864864864864865	0.4117647058823529	0.16	0.9629629629629629	0.6952380952380952	0.6363636363636364	0.6666666666666666	0.7878787878787878	0.9864864864864865	0.4117647058823529	0.16	0.8666666666666665	0.8156424581005586	0.5	0.25806451612903225	33	74	17	25
17	0.7114093959731543	0.7575757575757576	0.9459459459459459	0.35294117647058826	0.2	0.8928571428571429	0.6542056074766355	1.0	0.625	0.7575757575757576	0.9459459459459459	0.35294117647058826	0.2	0.819672131147541	0.7734806629834254	0.5217391304347826	0.30303030303030304	33	74	17	25
18	0.7516778523489933	0.9393939393939394	0.9864864864864865	0.35294117647058826	0.08	0.96875	0.6759259259259259	0.8571428571428571	1.0	0.9393939393939394	0.9864864864864865	0.35294117647058826	0.08	0.9538461538461539	0.8021978021978022	0.5	0.14814814814814814	33	74	17	25
19	0.7114093959731543	0.6363636363636364	0.9459459459459459	0.5294117647058824	0.24	0.9130434782608695	0.660377358490566	0.8181818181818182	0.6666666666666666	0.6363636363636364	0.9459459459459459	0.5294117647058824	0.24	0.75	0.7777777777777778	0.6428571428571428	0.3529411764705882	33	74	17	25
20	0.7315436241610739	0.8181818181818182	0.972972972972973	0.35294117647058826	0.16	0.9310344827586207	0.6923076923076923	0.6666666666666666	0.5714285714285714	0.8181818181818182	0.972972972972973	0.35294117647058826	0.16	0.8709677419354839	0.8089887640449438	0.46153846153846156	0.25	33	74	17	25
21	0.7315436241610739	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.16	0.9310344827586207	0.6761904761904762	0.7777777777777778	0.6666666666666666	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.16	0.8709677419354839	0.7932960893854749	0.5384615384615384	0.25806451612903225	33	74	17	25
22	0.738255033557047	0.7878787878787878	0.972972972972973	0.4117647058823529	0.2	0.9629629629629629	0.6857142857142857	0.6363636363636364	0.8333333333333334	0.7878787878787878	0.972972972972973	0.4117647058823529	0.2	0.8666666666666665	0.8044692737430168	0.5	0.3225806451612903	33	74	17	25
23	0.7516778523489933	0.8484848484848485	0.972972972972973	0.4117647058823529	0.2	0.9333333333333333	0.7058823529411765	0.875	0.5555555555555556	0.8484848484848485	0.972972972972973	0.4117647058823529	0.2	0.888888888888889	0.8181818181818183	0.56	0.29411764705882354	33	74	17	25
24	0.7114093959731543	0.696969696969697	0.972972972972973	0.29411764705882354	0.24	0.9583333333333334	0.6728971962616822	0.8333333333333334	0.5	0.696969696969697	0.972972972972973	0.29411764705882354	0.24	0.8070175438596493	0.7955801104972376	0.4347826086956522	0.32432432432432434	33	74	17	25
25	0.7114093959731543	0.7575757575757576	0.9459459459459459	0.4117647058823529	0.16	0.8620689655172413	0.693069306930693	0.5833333333333334	0.5714285714285714	0.7575757575757576	0.9459459459459459	0.4117647058823529	0.16	0.8064516129032258	0.8	0.4827586206896552	0.25	33	74	17	25
26	0.7315436241610739	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.2	0.9629629629629629	0.7029702970297029	0.7	0.45454545454545453	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.2	0.8666666666666665	0.8114285714285714	0.5185185185185185	0.2777777777777778	33	74	17	25
27	0.7315436241610739	0.7878787878787878	0.9594594594594594	0.47058823529411764	0.16	0.896551724137931	0.6826923076923077	0.8	0.6666666666666666	0.7878787878787878	0.9594594594594594	0.47058823529411764	0.16	0.8387096774193549	0.797752808988764	0.5925925925925927	0.25806451612903225	33	74	17	25
28	0.7114093959731543	0.7272727272727273	0.9459459459459459	0.35294117647058826	0.24	0.9230769230769231	0.693069306930693	0.75	0.42857142857142855	0.7272727272727273	0.9459459459459459	0.35294117647058826	0.24	0.8135593220338984	0.8	0.48	0.30769230769230765	33	74	17	25
29	0.7046979865771812	0.7575757575757576	0.9864864864864865	0.17647058823529413	0.16	0.9615384615384616	0.6886792452830188	0.375	0.4444444444444444	0.7575757575757576	0.9864864864864865	0.17647058823529413	0.16	0.8474576271186441	0.8111111111111111	0.24	0.23529411764705882	33	74	17	25
30	0.7248322147651006	0.7878787878787878	0.972972972972973	0.47058823529411764	0.08	0.9285714285714286	0.7346938775510204	0.5714285714285714	0.2222222222222222	0.7878787878787878	0.972972972972973	0.47058823529411764	0.08	0.8524590163934426	0.8372093023255813	0.5161290322580646	0.11764705882352941	33	74	17	25
31	0.7248322147651006	0.8181818181818182	0.972972972972973	0.29411764705882354	0.16	0.9	0.6857142857142857	0.7142857142857143	0.5714285714285714	0.8181818181818182	0.972972972972973	0.29411764705882354	0.16	0.8571428571428572	0.8044692737430168	0.4166666666666667	0.25	33	74	17	25
32	0.697986577181208	0.6666666666666666	0.9594594594594594	0.35294117647058826	0.2	0.9565217391304348	0.6698113207547169	0.75	0.4166666666666667	0.6666666666666666	0.9594594594594594	0.35294117647058826	0.2	0.7857142857142856	0.7888888888888889	0.48	0.2702702702702703	33	74	17	25
33	0.7583892617449665	0.8181818181818182	0.9594594594594594	0.5294117647058824	0.24	0.9642857142857143	0.7171717171717171	0.75	0.6	0.8181818181818182	0.9594594594594594	0.5294117647058824	0.24	0.8852459016393442	0.8208092485549132	0.6206896551724139	0.34285714285714286	33	74	17	25
34	0.7114093959731543	0.7272727272727273	0.9864864864864865	0.29411764705882354	0.16	0.96	0.6822429906542056	0.625	0.4444444444444444	0.7272727272727273	0.9864864864864865	0.29411764705882354	0.16	0.8275862068965517	0.8066298342541435	0.4	0.23529411764705882	33	74	17	25
35	0.7651006711409396	0.8181818181818182	0.9864864864864865	0.5294117647058824	0.2	0.9310344827586207	0.7019230769230769	0.9	0.8333333333333334	0.8181818181818182	0.9864864864864865	0.5294117647058824	0.2	0.8709677419354839	0.8202247191011235	0.6666666666666667	0.3225806451612903	33	74	17	25
36	0.7315436241610739	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.16	0.9642857142857143	0.6826923076923077	0.7777777777777778	0.5	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.16	0.8852459016393442	0.797752808988764	0.5384615384615384	0.24242424242424243	33	74	17	25
37	0.7516778523489933	0.9090909090909091	0.9864864864864865	0.35294117647058826	0.12	0.9375	0.7227722772277227	0.6666666666666666	0.42857142857142855	0.9090909090909091	0.9864864864864865	0.35294117647058826	0.12	0.923076923076923	0.8342857142857142	0.46153846153846156	0.1875	33	74	17	25
38	0.7516778523489933	0.8181818181818182	0.9864864864864865	0.47058823529411764	0.16	0.9642857142857143	0.6822429906542056	0.8	1.0	0.8181818181818182	0.9864864864864865	0.47058823529411764	0.16	0.8852459016393442	0.8066298342541435	0.5925925925925927	0.2758620689655173	33	74	17	25
39	0.738255033557047	0.8787878787878788	0.972972972972973	0.29411764705882354	0.16	0.9354838709677419	0.6792452830188679	0.7142857142857143	0.8	0.8787878787878788	0.972972972972973	0.29411764705882354	0.16	0.90625	0.7999999999999999	0.4166666666666667	0.26666666666666666	33	74	17	25
40	0.7516778523489933	0.8181818181818182	0.972972972972973	0.4117647058823529	0.24	1.0	0.7128712871287128	0.7	0.5454545454545454	0.8181818181818182	0.972972972972973	0.4117647058823529	0.24	0.9	0.8228571428571428	0.5185185185185185	0.3333333333333333	33	74	17	25
41	0.738255033557047	0.7878787878787878	0.9864864864864865	0.4117647058823529	0.16	0.9629629629629629	0.6697247706422018	0.875	0.8	0.7878787878787878	0.9864864864864865	0.4117647058823529	0.16	0.8666666666666665	0.7978142076502732	0.56	0.26666666666666666	33	74	17	25
42	0.7248322147651006	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.2	0.896551724137931	0.6761904761904762	0.8571428571428571	0.625	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.2	0.8387096774193549	0.7932960893854749	0.5	0.30303030303030304	33	74	17	25
43	0.7449664429530202	0.8484848484848485	0.9594594594594594	0.35294117647058826	0.24	0.9333333333333333	0.696078431372549	0.75	0.6666666666666666	0.8484848484848485	0.9594594594594594	0.35294117647058826	0.24	0.888888888888889	0.8068181818181818	0.48	0.3529411764705882	33	74	17	25
44	0.7181208053691275	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.16	0.9285714285714286	0.6635514018691588	0.75	0.6666666666666666	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.16	0.8524590163934426	0.7845303867403315	0.48	0.25806451612903225	33	74	17	25
45	0.7046979865771812	0.7575757575757576	0.9594594594594594	0.35294117647058826	0.12	0.9615384615384616	0.6396396396396397	1.0	0.5	0.7575757575757576	0.9594594594594594	0.35294117647058826	0.12	0.8474576271186441	0.7675675675675677	0.5217391304347826	0.1935483870967742	33	74	17	25
46	0.7516778523489933	0.8787878787878788	0.9594594594594594	0.4117647058823529	0.2	0.8529411764705882	0.71	0.875	0.7142857142857143	0.8787878787878788	0.9594594594594594	0.4117647058823529	0.2	0.8656716417910447	0.8160919540229885	0.56	0.3125	33	74	17	25
47	0.7315436241610739	0.7878787878787878	0.9324324324324325	0.4117647058823529	0.28	0.9285714285714286	0.7419354838709677	0.5833333333333334	0.4375	0.7878787878787878	0.9324324324324325	0.4117647058823529	0.28	0.8524590163934426	0.8263473053892216	0.4827586206896552	0.34146341463414637	33	74	17	25
