rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.8053691275167785	0.9090909090909091	0.972972972972973	0.7058823529411765	0.24	0.967741935483871	0.8	0.75	0.5	0.9090909090909091	0.972972972972973	0.7058823529411765	0.24	0.9374999999999999	0.8780487804878049	0.7272727272727272	0.32432432432432434	33	74	17	25
1	0.7718120805369127	0.9090909090909091	0.918918918918919	0.6470588235294118	0.24	0.9375	0.8395061728395061	0.5	0.42857142857142855	0.9090909090909091	0.918918918918919	0.6470588235294118	0.24	0.923076923076923	0.8774193548387097	0.5641025641025642	0.30769230769230765	33	74	17	25
2	0.8053691275167785	0.8484848484848485	0.9594594594594594	0.7058823529411765	0.36	0.9333333333333333	0.7802197802197802	0.9230769230769231	0.6	0.8484848484848485	0.9594594594594594	0.7058823529411765	0.36	0.888888888888889	0.8606060606060606	0.8000000000000002	0.45	33	74	17	25
3	0.8120805369127517	0.9696969696969697	0.9864864864864865	0.4117647058823529	0.36	0.9411764705882353	0.8111111111111111	0.7	0.6	0.9696969696969697	0.9864864864864865	0.4117647058823529	0.36	0.955223880597015	0.8902439024390244	0.5185185185185185	0.45	33	74	17	25
4	0.7919463087248322	0.8181818181818182	0.9459459459459459	0.7058823529411765	0.36	0.9310344827586207	0.7954545454545454	0.7058823529411765	0.6	0.8181818181818182	0.9459459459459459	0.7058823529411765	0.36	0.8709677419354839	0.8641975308641975	0.7058823529411765	0.45	33	74	17	25
5	0.8053691275167785	0.8181818181818182	0.9864864864864865	0.5882352941176471	0.4	0.9642857142857143	0.8111111111111111	0.5882352941176471	0.7142857142857143	0.8181818181818182	0.9864864864864865	0.5882352941176471	0.4	0.8852459016393442	0.8902439024390244	0.5882352941176471	0.5128205128205129	33	74	17	25
6	0.7986577181208053	0.8787878787878788	0.9594594594594594	0.5882352941176471	0.36	0.8787878787878788	0.797752808988764	0.7142857142857143	0.6923076923076923	0.8787878787878788	0.9594594594594594	0.5882352941176471	0.36	0.8787878787878788	0.8711656441717791	0.6451612903225806	0.47368421052631576	33	74	17	25
7	0.7583892617449665	0.8484848484848485	0.918918918918919	0.7058823529411765	0.2	0.9333333333333333	0.7472527472527473	0.7058823529411765	0.45454545454545453	0.8484848484848485	0.918918918918919	0.7058823529411765	0.2	0.888888888888889	0.8242424242424243	0.7058823529411765	0.2777777777777778	33	74	17	25
8	0.7785234899328859	0.8484848484848485	0.9459459459459459	0.5294117647058824	0.36	0.9032258064516129	0.7865168539325843	0.6923076923076923	0.5625	0.8484848484848485	0.9459459459459459	0.5294117647058824	0.36	0.875	0.8588957055214724	0.5999999999999999	0.43902439024390244	33	74	17	25
9	0.7986577181208053	0.9090909090909091	0.9459459459459459	0.5882352941176471	0.36	0.9090909090909091	0.8045977011494253	0.6666666666666666	0.6428571428571429	0.9090909090909091	0.9459459459459459	0.5882352941176471	0.36	0.9090909090909091	0.8695652173913044	0.625	0.4615384615384615	33	74	17	25
