rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.8120805369127517	0.9090909090909091	0.9594594594594594	0.7058823529411765	0.32	0.9375	0.8160919540229885	0.5714285714285714	0.8888888888888888	0.9090909090909091	0.9594594594594594	0.7058823529411765	0.32	0.923076923076923	0.8819875776397516	0.6315789473684211	0.47058823529411764	33	74	17	25
1	0.8187919463087249	0.9090909090909091	0.972972972972973	0.5294117647058824	0.44	0.9375	0.8181818181818182	0.6428571428571429	0.7333333333333333	0.9090909090909091	0.972972972972973	0.5294117647058824	0.44	0.923076923076923	0.8888888888888891	0.5806451612903226	0.5499999999999999	33	74	17	25
2	0.7718120805369127	0.7575757575757576	0.972972972972973	0.6470588235294118	0.28	1.0	0.7659574468085106	0.6111111111111112	0.5833333333333334	0.7575757575757576	0.972972972972973	0.6470588235294118	0.28	0.8620689655172413	0.8571428571428571	0.6285714285714287	0.3783783783783784	33	74	17	25
3	0.785234899328859	0.8181818181818182	0.9324324324324325	0.6470588235294118	0.4	0.9	0.8117647058823529	0.6111111111111112	0.625	0.8181818181818182	0.9324324324324325	0.6470588235294118	0.4	0.8571428571428572	0.8679245283018868	0.6285714285714287	0.48780487804878053	33	74	17	25
4	0.785234899328859	0.8787878787878788	0.9459459459459459	0.7058823529411765	0.24	0.90625	0.8045977011494253	0.5217391304347826	0.8571428571428571	0.8787878787878788	0.9459459459459459	0.7058823529411765	0.24	0.8923076923076922	0.8695652173913044	0.6	0.375	33	74	17	25
5	0.8322147651006712	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.64	0.9032258064516129	0.8658536585365854	0.6923076923076923	0.6956521739130435	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.64	0.875	0.9102564102564101	0.5999999999999999	0.6666666666666666	33	74	17	25
6	0.8187919463087249	0.9090909090909091	0.972972972972973	0.5882352941176471	0.4	0.9375	0.8275862068965517	0.7142857142857143	0.625	0.9090909090909091	0.972972972972973	0.5882352941176471	0.4	0.923076923076923	0.8944099378881988	0.6451612903225806	0.48780487804878053	33	74	17	25
7	0.7919463087248322	0.8787878787878788	0.972972972972973	0.5294117647058824	0.32	1.0	0.782608695652174	0.75	0.5	0.8787878787878788	0.972972972972973	0.5294117647058824	0.32	0.9354838709677419	0.8674698795180723	0.6206896551724139	0.39024390243902435	33	74	17	25
8	0.7718120805369127	0.9090909090909091	0.972972972972973	0.4117647058823529	0.24	0.967741935483871	0.782608695652174	0.5	0.5	0.9090909090909091	0.972972972972973	0.4117647058823529	0.24	0.9374999999999999	0.8674698795180723	0.45161290322580644	0.32432432432432434	33	74	17	25
9	0.8120805369127517	0.8181818181818182	1.0	0.5882352941176471	0.4	1.0	0.7872340425531915	0.7142857142857143	0.7142857142857143	0.8181818181818182	1.0	0.5882352941176471	0.4	0.9	0.880952380952381	0.6451612903225806	0.5128205128205129	33	74	17	25
10	0.7785234899328859	0.8181818181818182	0.9594594594594594	0.5294117647058824	0.36	0.9	0.7888888888888889	0.6428571428571429	0.6	0.8181818181818182	0.9594594594594594	0.5294117647058824	0.36	0.8571428571428572	0.8658536585365852	0.5806451612903226	0.45	33	74	17	25
11	0.7785234899328859	0.7272727272727273	0.9459459459459459	0.6470588235294118	0.44	1.0	0.7692307692307693	0.6111111111111112	0.6875	0.7272727272727273	0.9459459459459459	0.6470588235294118	0.44	0.8421052631578948	0.8484848484848485	0.6285714285714287	0.5365853658536586	33	74	17	25
12	0.7583892617449665	0.7575757575757576	0.9459459459459459	0.7058823529411765	0.24	0.9615384615384616	0.7291666666666666	0.6666666666666666	0.6666666666666666	0.7575757575757576	0.9459459459459459	0.7058823529411765	0.24	0.8474576271186441	0.8235294117647058	0.6857142857142857	0.3529411764705882	33	74	17	25
13	0.7785234899328859	0.8181818181818182	0.972972972972973	0.5294117647058824	0.32	0.9310344827586207	0.8	0.6428571428571429	0.5	0.8181818181818182	0.972972972972973	0.5294117647058824	0.32	0.8709677419354839	0.8780487804878049	0.5806451612903226	0.39024390243902435	33	74	17	25
14	0.785234899328859	0.8787878787878788	0.9594594594594594	0.5882352941176471	0.28	0.9666666666666667	0.8068181818181818	0.47619047619047616	0.7	0.8787878787878788	0.9594594594594594	0.5882352941176471	0.28	0.9206349206349207	0.8765432098765431	0.5263157894736842	0.4	33	74	17	25
15	0.7718120805369127	0.7878787878787878	0.972972972972973	0.5882352941176471	0.28	0.9285714285714286	0.782608695652174	0.5555555555555556	0.6363636363636364	0.7878787878787878	0.972972972972973	0.5882352941176471	0.28	0.8524590163934426	0.8674698795180723	0.5714285714285715	0.3888888888888889	33	74	17	25
16	0.825503355704698	0.9090909090909091	0.9864864864864865	0.5882352941176471	0.4	0.967741935483871	0.8202247191011236	0.7142857142857143	0.6666666666666666	0.9090909090909091	0.9864864864864865	0.5882352941176471	0.4	0.9374999999999999	0.8957055214723927	0.6451612903225806	0.5	33	74	17	25
17	0.7785234899328859	0.7272727272727273	0.9459459459459459	0.6470588235294118	0.44	0.9230769230769231	0.7526881720430108	0.7857142857142857	0.6875	0.7272727272727273	0.9459459459459459	0.6470588235294118	0.44	0.8135593220338984	0.8383233532934132	0.7096774193548386	0.5365853658536586	33	74	17	25
18	0.7315436241610739	0.7575757575757576	0.8918918918918919	0.5882352941176471	0.32	0.8928571428571429	0.7674418604651163	0.6666666666666666	0.4	0.7575757575757576	0.8918918918918919	0.5882352941176471	0.32	0.819672131147541	0.825	0.625	0.35555555555555557	33	74	17	25
19	0.7718120805369127	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.44	0.9629629629629629	0.7553191489361702	0.7777777777777778	0.5789473684210527	0.7878787878787878	0.9594594594594594	0.4117647058823529	0.44	0.8666666666666665	0.8452380952380952	0.5384615384615384	0.5	33	74	17	25
20	0.825503355704698	0.9393939393939394	0.9594594594594594	0.5882352941176471	0.44	0.96875	0.8554216867469879	0.5882352941176471	0.6470588235294118	0.9393939393939394	0.9594594594594594	0.5882352941176471	0.44	0.9538461538461539	0.9044585987261146	0.5882352941176471	0.5238095238095238	33	74	17	25
21	0.7919463087248322	0.8787878787878788	0.9864864864864865	0.7058823529411765	0.16	0.9354838709677419	0.8021978021978022	0.5714285714285714	0.6666666666666666	0.8787878787878788	0.9864864864864865	0.7058823529411765	0.16	0.90625	0.8848484848484848	0.6315789473684211	0.25806451612903225	33	74	17	25
22	0.7718120805369127	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.4	0.9259259259259259	0.7888888888888889	0.5294117647058824	0.6666666666666666	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.4	0.8333333333333334	0.8658536585365852	0.5294117647058824	0.5	33	74	17	25
23	0.7449664429530202	0.8484848484848485	0.972972972972973	0.35294117647058826	0.2	0.9655172413793104	0.7422680412371134	0.46153846153846156	0.5	0.8484848484848485	0.972972972972973	0.35294117647058826	0.2	0.9032258064516129	0.8421052631578948	0.4000000000000001	0.28571428571428575	33	74	17	25
24	0.7785234899328859	0.7878787878787878	0.972972972972973	0.5882352941176471	0.32	1.0	0.782608695652174	0.6666666666666666	0.5	0.7878787878787878	0.972972972972973	0.5882352941176471	0.32	0.8813559322033898	0.8674698795180723	0.625	0.39024390243902435	33	74	17	25
25	0.7785234899328859	0.8181818181818182	0.9324324324324325	0.5882352941176471	0.4	0.9642857142857143	0.8313253012048193	0.45454545454545453	0.625	0.8181818181818182	0.9324324324324325	0.5882352941176471	0.4	0.8852459016393442	0.8789808917197452	0.5128205128205129	0.48780487804878053	33	74	17	25
26	0.7785234899328859	0.8181818181818182	0.972972972972973	0.6470588235294118	0.24	1.0	0.7578947368421053	0.6875	0.5454545454545454	0.8181818181818182	0.972972972972973	0.6470588235294118	0.24	0.9	0.8520710059171599	0.6666666666666667	0.3333333333333333	33	74	17	25
27	0.785234899328859	0.7575757575757576	0.9864864864864865	0.6470588235294118	0.32	0.9615384615384616	0.7934782608695652	0.55	0.7272727272727273	0.7575757575757576	0.9864864864864865	0.6470588235294118	0.32	0.8474576271186441	0.8795180722891566	0.5945945945945946	0.4444444444444444	33	74	17	25
