rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.8120805369127517	0.8787878787878788	0.9594594594594594	0.47058823529411764	0.52	0.9666666666666667	0.8352941176470589	0.6666666666666666	0.5909090909090909	0.8787878787878788	0.9594594594594594	0.47058823529411764	0.52	0.9206349206349207	0.8930817610062894	0.5517241379310345	0.5531914893617023	33	74	17	25
1	0.8322147651006712	0.9696969696969697	0.972972972972973	0.7058823529411765	0.32	0.9696969696969697	0.8470588235294118	0.631578947368421	0.6666666666666666	0.9696969696969697	0.972972972972973	0.7058823529411765	0.32	0.9696969696969697	0.9056603773584906	0.6666666666666667	0.43243243243243246	33	74	17	25
2	0.825503355704698	0.8787878787878788	0.9864864864864865	0.47058823529411764	0.52	0.9666666666666667	0.8488372093023255	0.7272727272727273	0.5909090909090909	0.8787878787878788	0.9864864864864865	0.47058823529411764	0.52	0.9206349206349207	0.9125	0.5714285714285714	0.5531914893617023	33	74	17	25
3	0.7919463087248322	0.9090909090909091	0.972972972972973	0.5294117647058824	0.28	0.967741935483871	0.8089887640449438	0.5	0.6363636363636364	0.9090909090909091	0.972972972972973	0.5294117647058824	0.28	0.9374999999999999	0.8834355828220859	0.5142857142857143	0.3888888888888889	33	74	17	25
4	0.7986577181208053	0.9393939393939394	0.9054054054054054	0.7058823529411765	0.36	0.9393939393939394	0.7790697674418605	0.75	0.6428571428571429	0.9393939393939394	0.9054054054054054	0.7058823529411765	0.36	0.9393939393939394	0.8375	0.7272727272727272	0.4615384615384615	33	74	17	25
5	0.7986577181208053	0.8787878787878788	0.9054054054054054	0.5882352941176471	0.52	0.9354838709677419	0.8170731707317073	0.625	0.65	0.8787878787878788	0.9054054054054054	0.5882352941176471	0.52	0.90625	0.8589743589743589	0.6060606060606061	0.5777777777777778	33	74	17	25
6	0.7986577181208053	0.8787878787878788	0.9459459459459459	0.5882352941176471	0.4	0.9354838709677419	0.8333333333333334	0.5	0.7142857142857143	0.8787878787878788	0.9459459459459459	0.5882352941176471	0.4	0.90625	0.8860759493670887	0.5405405405405405	0.5128205128205129	33	74	17	25
7	0.8053691275167785	0.8787878787878788	0.9594594594594594	0.6470588235294118	0.36	0.9666666666666667	0.8452380952380952	0.5	0.6923076923076923	0.8787878787878788	0.9594594594594594	0.6470588235294118	0.36	0.9206349206349207	0.8987341772151899	0.5641025641025642	0.47368421052631576	33	74	17	25
8	0.7986577181208053	0.9090909090909091	0.9594594594594594	0.5882352941176471	0.32	0.9090909090909091	0.7717391304347826	0.7692307692307693	0.7272727272727273	0.9090909090909091	0.9594594594594594	0.5882352941176471	0.32	0.9090909090909091	0.855421686746988	0.6666666666666667	0.4444444444444444	33	74	17	25
9	0.7919463087248322	0.8787878787878788	0.9459459459459459	0.6470588235294118	0.32	0.9666666666666667	0.8641975308641975	0.5	0.5	0.8787878787878788	0.9459459459459459	0.6470588235294118	0.32	0.9206349206349207	0.903225806451613	0.5641025641025642	0.39024390243902435	33	74	17	25
10	0.7919463087248322	0.9090909090909091	0.9324324324324325	0.5882352941176471	0.36	0.8823529411764706	0.8313253012048193	0.5263157894736842	0.6923076923076923	0.9090909090909091	0.9324324324324325	0.5882352941176471	0.36	0.8955223880597014	0.8789808917197452	0.5555555555555555	0.47368421052631576	33	74	17	25
11	0.8322147651006712	0.9696969696969697	0.9324324324324325	0.6470588235294118	0.48	1.0	0.8117647058823529	0.8461538461538461	0.631578947368421	0.9696969696969697	0.9324324324324325	0.6470588235294118	0.48	0.9846153846153847	0.8679245283018868	0.7333333333333334	0.5454545454545454	33	74	17	25
12	0.825503355704698	0.8787878787878788	0.9864864864864865	0.5882352941176471	0.44	1.0	0.8390804597701149	0.6666666666666666	0.6111111111111112	0.8787878787878788	0.9864864864864865	0.5882352941176471	0.44	0.9354838709677419	0.906832298136646	0.625	0.5116279069767442	33	74	17	25
13	0.7986577181208053	0.9090909090909091	0.9324324324324325	0.5294117647058824	0.44	1.0	0.7840909090909091	0.6428571428571429	0.6470588235294118	0.9090909090909091	0.9324324324324325	0.5294117647058824	0.44	0.9523809523809523	0.8518518518518517	0.5806451612903226	0.5238095238095238	33	74	17	25
14	0.7718120805369127	0.7575757575757576	0.972972972972973	0.6470588235294118	0.28	1.0	0.8089887640449438	0.5	0.5384615384615384	0.7575757575757576	0.972972972972973	0.6470588235294118	0.28	0.8620689655172413	0.8834355828220859	0.5641025641025642	0.3684210526315789	33	74	17	25
15	0.7718120805369127	0.9090909090909091	0.9054054054054054	0.5882352941176471	0.32	0.9090909090909091	0.8271604938271605	0.5	0.5333333333333333	0.9090909090909091	0.9054054054054054	0.5882352941176471	0.32	0.9090909090909091	0.864516129032258	0.5405405405405405	0.4	33	74	17	25
16	0.7718120805369127	0.8181818181818182	0.9459459459459459	0.5882352941176471	0.32	0.9310344827586207	0.7777777777777778	0.5882352941176471	0.6153846153846154	0.8181818181818182	0.9459459459459459	0.5882352941176471	0.32	0.8709677419354839	0.8536585365853658	0.5882352941176471	0.4210526315789474	33	74	17	25
17	0.785234899328859	0.8181818181818182	0.9864864864864865	0.6470588235294118	0.24	0.9642857142857143	0.8111111111111111	0.5	0.6666666666666666	0.8181818181818182	0.9864864864864865	0.6470588235294118	0.24	0.8852459016393442	0.8902439024390244	0.5641025641025642	0.3529411764705882	33	74	17	25
18	0.8120805369127517	0.8787878787878788	0.972972972972973	0.6470588235294118	0.36	0.9354838709677419	0.8181818181818182	0.6470588235294118	0.6923076923076923	0.8787878787878788	0.972972972972973	0.6470588235294118	0.36	0.90625	0.8888888888888891	0.6470588235294118	0.47368421052631576	33	74	17	25
