,A_0.5,A_large_0.5,A_small_0.5,B_0.5,B_large_0.5,B_small_0.5,C_0.5,C_large_0.5,C_small_0.5,D_0.5,D_large_0.5,D_small_0.5,AB_0.5,AB_large_0.5,AB_small_0.5,A_0.6,A_large_0.6,A_small_0.6,B_0.6,B_large_0.6,B_small_0.6,C_0.6,C_large_0.6,C_small_0.6,D_0.6,D_large_0.6,D_small_0.6,AB_0.6,AB_large_0.6,AB_small_0.6,A_0.7,A_large_0.7,A_small_0.7,B_0.7,B_large_0.7,B_small_0.7,C_0.7,C_large_0.7,C_small_0.7,D_0.7,D_large_0.7,D_small_0.7,AB_0.7,AB_large_0.7,AB_small_0.7,A_0.8,A_large_0.8,A_small_0.8,B_0.8,B_large_0.8,B_small_0.8,C_0.8,C_large_0.8,C_small_0.8,D_0.8,D_large_0.8,D_small_0.8,AB_0.8,AB_large_0.8,AB_small_0.8,A_0.9,A_large_0.9,A_small_0.9,B_0.9,B_large_0.9,B_small_0.9,C_0.9,C_large_0.9,C_small_0.9,D_0.9,D_large_0.9,D_small_0.9,AB_0.9,AB_large_0.9,AB_small_0.9
10000,4420.0,2269.0,2151.0,2379.0,1946.0,433.0,463.0,95.0,368.0,100.0,8.0,92.0,1877.0,1718.0,159.0,4213.0,2145.0,2068.0,2759.0,2351.0,408.0,1228.0,124.0,1104.0,70.0,6.0,64.0,1877.0,1726.0,151.0,3176.0,1713.0,1463.0,2763.0,2477.0,286.0,2077.0,195.0,1882.0,55.0,8.0,47.0,1649.0,1532.0,117.0,1790.0,1064.0,726.0,2104.0,1908.0,196.0,2340.0,269.0,2071.0,40.0,6.0,34.0,1204.0,1147.0,57.0,761.0,598.0,163.0,932.0,849.0,83.0,2281.0,336.0,1945.0,63.0,31.0,32.0,382.0,365.0,17.0
20000,7774.0,4133.0,3641.0,4098.0,2958.0,1140.0,1167.0,333.0,834.0,382.0,70.0,312.0,3416.0,2974.0,442.0,7262.0,3915.0,3347.0,4632.0,3640.0,992.0,2458.0,471.0,1987.0,320.0,52.0,268.0,3497.0,3073.0,424.0,5527.0,3195.0,2332.0,4430.0,3765.0,665.0,3902.0,666.0,3236.0,233.0,35.0,198.0,3029.0,2728.0,301.0,3371.0,2194.0,1177.0,3232.0,2856.0,376.0,4191.0,821.0,3370.0,174.0,42.0,132.0,2093.0,1943.0,150.0,1491.0,1206.0,285.0,1390.0,1227.0,163.0,4046.0,966.0,3080.0,158.0,72.0,86.0,645.0,599.0,46.0
30000,10528.0,5713.0,4815.0,5663.0,3843.0,1820.0,1871.0,573.0,1298.0,756.0,199.0,557.0,4671.0,3945.0,726.0,9835.0,5456.0,4379.0,6230.0,4715.0,1515.0,3539.0,792.0,2747.0,655.0,158.0,497.0,4789.0,4133.0,656.0,7592.0,4496.0,3096.0,5726.0,4761.0,965.0,5447.0,1139.0,4308.0,483.0,105.0,378.0,4095.0,3637.0,458.0,4795.0,3213.0,1582.0,4160.0,3588.0,572.0,5822.0,1432.0,4390.0,397.0,110.0,287.0,2757.0,2518.0,239.0,2146.0,1751.0,395.0,1816.0,1528.0,288.0,5546.0,1591.0,3955.0,268.0,119.0,149.0,854.0,776.0,78.0
40000,12927.0,7003.0,5924.0,7066.0,4653.0,2413.0,2519.0,821.0,1698.0,1184.0,385.0,799.0,5790.0,4811.0,979.0,12028.0,6697.0,5331.0,7636.0,5655.0,1981.0,4538.0,1099.0,3439.0,1067.0,315.0,752.0,5920.0,5065.0,855.0,9357.0,5608.0,3749.0,6871.0,5633.0,1238.0,6860.0,1583.0,5277.0,799.0,224.0,575.0,4997.0,4408.0,589.0,6008.0,4084.0,1924.0,5008.0,4201.0,807.0,7269.0,1954.0,5315.0,611.0,171.0,440.0,3312.0,2984.0,328.0,2681.0,2192.0,489.0,2244.0,1812.0,432.0,6862.0,2218.0,4644.0,359.0,164.0,195.0,1040.0,923.0,117.0
50000,15166.0,8133.0,7033.0,8408.0,5485.0,2923.0,3123.0,1047.0,2076.0,1628.0,609.0,1019.0,6801.0,5602.0,1199.0,14152.0,7863.0,6289.0,8968.0,6628.0,2340.0,5386.0,1391.0,3995.0,1479.0,481.0,998.0,6875.0,5847.0,1028.0,11001.0,6604.0,4397.0,7899.0,6435.0,1464.0,8071.0,1988.0,6083.0,1135.0,346.0,789.0,5776.0,5052.0,724.0,7119.0,4859.0,2260.0,5753.0,4748.0,1005.0,8582.0,2467.0,6115.0,857.0,253.0,604.0,3803.0,3394.0,409.0,3153.0,2576.0,577.0,2629.0,2077.0,552.0,8119.0,2816.0,5303.0,496.0,212.0,284.0,1229.0,1070.0,159.0
60000,17242.0,9152.0,8090.0,9710.0,6304.0,3406.0,3717.0,1261.0,2456.0,2094.0,849.0,1245.0,7764.0,6349.0,1415.0,16049.0,8876.0,7173.0,10267.0,7552.0,2715.0,6250.0,1664.0,4586.0,1890.0,672.0,1218.0,7794.0,6598.0,1196.0,12497.0,7505.0,4992.0,8920.0,7226.0,1694.0,9240.0,2363.0,6877.0,1460.0,468.0,992.0,6457.0,5623.0,834.0,8148.0,5597.0,2551.0,6507.0,5305.0,1202.0,9832.0,2945.0,6887.0,1086.0,334.0,752.0,4204.0,3719.0,485.0,3582.0,2929.0,653.0,2981.0,2307.0,674.0,9272.0,3374.0,5898.0,616.0,249.0,367.0,1379.0,1179.0,200.0
70000,19154.0,10078.0,9076.0,10900.0,7103.0,3797.0,4246.0,1465.0,2781.0,2605.0,1151.0,1454.0,8667.0,7046.0,1621.0,17841.0,9834.0,8007.0,11426.0,8381.0,3045.0,7014.0,1926.0,5088.0,2335.0,896.0,1439.0,8637.0,7277.0,1360.0,13904.0,8370.0,5534.0,9896.0,7943.0,1953.0,10373.0,2734.0,7639.0,1815.0,606.0,1209.0,7077.0,6128.0,949.0,9121.0,6260.0,2861.0,7179.0,5805.0,1374.0,11029.0,3374.0,7655.0,1361.0,429.0,932.0,4565.0,4005.0,560.0,4020.0,3267.0,753.0,3353.0,2545.0,808.0,10345.0,3856.0,6489.0,749.0,313.0,436.0,1520.0,1282.0,238.0
80000,20929.0,10932.0,9997.0,11981.0,7857.0,4124.0,4750.0,1643.0,3107.0,3179.0,1472.0,1707.0,9500.0,7693.0,1807.0,19427.0,10668.0,8759.0,12552.0,9205.0,3347.0,7770.0,2140.0,5630.0,2816.0,1140.0,1676.0,9430.0,7922.0,1508.0,15171.0,9128.0,6043.0,10887.0,8660.0,2227.0,11424.0,3088.0,8336.0,2183.0,753.0,1430.0,7652.0,6627.0,1025.0,9928.0,6806.0,3122.0,7840.0,6252.0,1588.0,12113.0,3788.0,8325.0,1643.0,512.0,1131.0,4915.0,4288.0,627.0,4362.0,3534.0,828.0,3651.0,2735.0,916.0,11351.0,4349.0,7002.0,896.0,367.0,529.0,1670.0,1393.0,277.0
90000,22675.0,11756.0,10919.0,13051.0,8601.0,4450.0,5247.0,1811.0,3436.0,3703.0,1794.0,1909.0,10236.0,8275.0,1961.0,20937.0,11459.0,9478.0,13607.0,9980.0,3627.0,8481.0,2371.0,6110.0,3321.0,1396.0,1925.0,10148.0,8509.0,1639.0,16339.0,9844.0,6495.0,11729.0,9266.0,2463.0,12441.0,3436.0,9005.0,2571.0,915.0,1656.0,8198.0,7072.0,1126.0,10697.0,7328.0,3369.0,8552.0,6724.0,1828.0,13146.0,4174.0,8972.0,1932.0,623.0,1309.0,5244.0,4557.0,687.0,4720.0,3809.0,911.0,3981.0,2936.0,1045.0,12359.0,4823.0,7536.0,1047.0,425.0,622.0,1806.0,1502.0,304.0
100000,24284.0,12499.0,11785.0,14092.0,9358.0,4734.0,5739.0,1977.0,3762.0,4220.0,2127.0,2093.0,10961.0,8849.0,2112.0,22380.0,12174.0,10206.0,14664.0,10777.0,3887.0,9178.0,2598.0,6580.0,3782.0,1649.0,2133.0,10829.0,9061.0,1768.0,17452.0,10470.0,6982.0,12618.0,9901.0,2717.0,13388.0,3741.0,9647.0,2966.0,1087.0,1879.0,8701.0,7496.0,1205.0,11417.0,7794.0,3623.0,9231.0,7185.0,2046.0,14129.0,4523.0,9606.0,2187.0,714.0,1473.0,5582.0,4831.0,751.0,5074.0,4077.0,997.0,4320.0,3137.0,1183.0,13260.0,5245.0,8015.0,1181.0,473.0,708.0,1928.0,1599.0,329.0
